"editorial_status","batch","external_id","category","page_url","video_title","prompt","current_video_description","current_topic","poster_url","video_url","duration_seconds","publication_date","proposed_video_description","editorial_notes"
"accepted","batch-014","3546","A","https://prawkonaraz.pl/pytanie/3546/czy-w-tej-sytuacji-masz-prawo-wyprzedzic-pojazd-szynowy","Film do pytania 3546: Czy w tej sytuacji masz prawo wyprzedzić pojazd szynowy?","Czy w tej sytuacji masz prawo wyprzedzić pojazd szynowy?","Film przy pytaniu 3546 dla kategorii A prezentuje praktyczny kontekst drogowy wykorzystywany w nauce do prawa jazdy i porządkuje to, na co warto zwrócić uwagę w kadrze. Temat sceny: ocena, czy w tej sytuacji masz prawo wyprzedzić pojazd szynowy.","ocena, czy w tej sytuacji masz prawo wyprzedzić pojazd szynowy","https://prawkonaraz.pl/storage-bulk/media/questions/a/3546/image/poster.c72292784246.jpg","https://prawkonaraz.pl/storage-bulk/media/questions/a/3546/video/full.f58d6fe68b79.mp4","10","2026-04-09T01:58:07+02:00","Żółty tramwaj jedzie po torowisku wzdłuż szerokiej ulicy, a samochód porusza się pasem obok. Kadr skupia uwagę na relacji auta z pojazdem szynowym podczas manewru wyprzedzania.","batch-014 accepted after owner review; not yet connected to production sitemap"
"accepted","batch-014","3547","A","https://prawkonaraz.pl/pytanie/3547/zamierzasz-jechac-na-wprost-czy-masz-obowiazek-ustapic-pierwszenstwa-pojazdowi-nadjezdzajacemu-z-prawej-strony","Film do pytania 3547: Zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdż...","Zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?","Materiał wideo do pytania 3547 dla kategorii A pokazuje krótką sytuację drogową z egzaminu teoretycznego i pomaga przeanalizować ją na podstawie obserwacji oraz zasad ruchu. Temat sceny: zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony.","zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony","https://prawkonaraz.pl/storage-bulk/media/questions/a/3547/image/poster.79b29c4511ad.jpg","https://prawkonaraz.pl/storage-bulk/media/questions/a/3547/video/full.1c3f538ac4cf.mp4","10","2026-04-09T01:58:07+02:00","Droga przy ogrodzeniu i zieleni prowadzi do lokalnego skrzyżowania, z autem widocznym po lewej stronie. Scena porządkuje obserwację pojazdów przy jeździe na wprost.","batch-014 accepted after owner review; not yet connected to production sitemap"
"accepted","batch-014","3548","A","https://prawkonaraz.pl/pytanie/3548/czy-dozwolony-jest-postoj-pojazdu-na-wjezdzie-do-bramy","Film do pytania 3548: Czy dozwolony jest postój pojazdu na wjeździe do bramy?","Czy dozwolony jest postój pojazdu na wjeździe do bramy?","Materiał wideo do pytania 3548 dla kategorii A pokazuje krótką sytuację drogową z egzaminu teoretycznego i pomaga przeanalizować ją na podstawie obserwacji oraz zasad ruchu. Temat sceny: ocena, czy dozwolony jest postój pojazdu na wjeździe do bramy.","ocena, czy dozwolony jest postój pojazdu na wjeździe do bramy","https://prawkonaraz.pl/storage-bulk/media/questions/a/3548/image/poster.2c1b09587d14.jpg","https://prawkonaraz.pl/storage-bulk/media/questions/a/3548/video/full.324595e0df2e.mp4","10","2026-04-09T01:58:07+02:00","Wjazd do bramy jest częściowo zajęty przez zaparkowane auta stojące przy krawędzi jezdni. Materiał dotyczy postoju w miejscu, gdzie pojazd może blokować dostęp do posesji.","batch-014 accepted after owner review; not yet connected to production sitemap"
"accepted","batch-014","3549","A","https://prawkonaraz.pl/pytanie/3549/zamierzasz-jechac-na-wprost-czy-masz-obowiazek-ustapic-pierwszenstwa-pojazdowi-nadjezdzajacemu-z-prawej-strony","Film do pytania 3549: Zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdż...","Zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?","Materiał wideo do pytania 3549 dla kategorii A pokazuje krótką sytuację drogową z egzaminu teoretycznego i pomaga przeanalizować ją na podstawie obserwacji oraz zasad ruchu. Temat sceny: zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony.","zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony","https://prawkonaraz.pl/storage-bulk/media/questions/a/3549/image/poster.18a6a8313896.jpg","https://prawkonaraz.pl/storage-bulk/media/questions/a/3549/video/full.5e1d2084e250.mp4","10","2026-04-09T01:58:07+02:00","Osiedlowa ulica z niską zabudową i samochodem po lewej pokazuje jazdę na wprost przez spokojny wlot. Ujęcie akcentuje ruch nadjeżdżający z bocznej strony oraz linię pobocza.","batch-014 accepted after owner review; not yet connected to production sitemap"
"accepted","batch-014","3550","A","https://prawkonaraz.pl/pytanie/3550/czy-w-tej-sytuacji-skrecajac-w-lewo-masz-obowiazek-ustapic-pierwszenstwa-motocykliscie","Film do pytania 3550: Czy w tej sytuacji, skręcając w lewo, masz obowiązek ustąpić pierwszeństwa motocykliście...","Czy w tej sytuacji, skręcając w lewo, masz obowiązek ustąpić pierwszeństwa motocykliście?","Materiał wideo do pytania 3550 dla kategorii A pokazuje krótką sytuację drogową z egzaminu teoretycznego i pomaga przeanalizować ją na podstawie obserwacji oraz zasad ruchu. Temat sceny: ocena, czy w tej sytuacji, skręcając w lewo, masz obowiązek ustąpić pierwszeństwa motocykliście.","ocena, czy w tej sytuacji, skręcając w lewo, masz obowiązek ustąpić pierwszeństwa motocykliście","https://prawkonaraz.pl/storage-bulk/media/questions/a/3550/image/poster.f3e8a278cd58.jpg","https://prawkonaraz.pl/storage-bulk/media/questions/a/3550/video/full.7c3db8da03be.mp4","10","2026-04-09T01:58:07+02:00","Droga z białym autem po prawej i wlotem wśród zieleni pokazuje przygotowanie do skrętu w lewo. Scena skupia się na motocykliście mogącym pojawić się z przeciwnego kierunku.","batch-014 accepted after owner review; not yet connected to production sitemap"
"accepted","batch-014","3551","A","https://prawkonaraz.pl/pytanie/3551/skrecasz-w-lewo-a-kierujacy-samochodem-zamierza-jechac-na-wprost-czy-masz-przed-nim-pierwszenstwo","Film do pytania 3551: Skręcasz w lewo, a kierujący samochodem zamierza jechać na wprost. Czy masz przed nim pi...","Skręcasz w lewo, a kierujący samochodem zamierza jechać na wprost. Czy masz przed nim pierwszeństwo?","Klip wideo dla pytania 3551 dla kategorii A pokazuje sytuację egzaminacyjną na drodze, w której liczy się spokojna obserwacja, rozpoznanie zagrożeń i właściwa decyzja kierowcy. Temat sceny: skręcasz w lewo, a kierujący samochodem zamierza jechać na wprost. Czy masz przed nim pierwszeństwo.","skręcasz w lewo, a kierujący samochodem zamierza jechać na wprost. Czy masz przed nim pierwszeństwo","https://prawkonaraz.pl/storage-bulk/media/questions/a/3551/image/poster.f3e8a278cd58.jpg","https://prawkonaraz.pl/storage-bulk/media/questions/a/3551/video/full.7c3db8da03be.mp4","10","2026-04-09T01:58:07+02:00","Ten sam lokalny układ ulic z białym pojazdem przy krawędzi pokazuje skręt w lewo i auto jadące na wprost. Kadr prowadzi uwagę po przecinających się torach pojazdów.","batch-014 accepted after owner review; not yet connected to production sitemap"
"accepted","batch-014","3553","A","https://prawkonaraz.pl/pytanie/3553/zamierzasz-skrecic-w-prawo-czy-masz-obowiazek-ustapic-pierwszenstwa-pojazdowi-nadjezdzajacemu-z-lewej-strony","Film do pytania 3553: Zamierzasz skręcić w prawo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdża...","Zamierzasz skręcić w prawo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony?","Nagranie przypisane do pytania 3553 dla kategorii A przedstawia scenę z perspektywy kierującego, z naciskiem na ocenę otoczenia, znaków i zachowania uczestników ruchu. Temat sceny: zamierzasz skręcić w prawo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony.","zamierzasz skręcić w prawo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony","https://prawkonaraz.pl/storage-bulk/media/questions/a/3553/image/poster.8980f7ca04ad.jpg","https://prawkonaraz.pl/storage-bulk/media/questions/a/3553/video/full.dee2dec39ce0.mp4","10","2026-04-09T01:58:07+02:00","Przed samochodem widoczny jest dostawczy pojazd na prostej ulicy z ogrodzeniami i zielenią. Materiał dotyczy skrętu w prawo oraz ruchu nadjeżdżającego z naprzeciwka.","batch-014 accepted after owner review; not yet connected to production sitemap"
"accepted","batch-014","3554","A","https://prawkonaraz.pl/pytanie/3554/zamierzasz-skrecic-w-lewo-czy-masz-obowiazek-ustapic-pierwszenstwa-motocykliscie","Film do pytania 3554: Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa motocykliście?","Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa motocykliście?","Klip wideo dla pytania 3554 dla kategorii A pokazuje sytuację egzaminacyjną na drodze, w której liczy się spokojna obserwacja, rozpoznanie zagrożeń i właściwa decyzja kierowcy. Temat sceny: zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa motocykliście.","zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa motocykliście","https://prawkonaraz.pl/storage-bulk/media/questions/a/3554/image/poster.8980f7ca04ad.jpg","https://prawkonaraz.pl/storage-bulk/media/questions/a/3554/video/full.dee2dec39ce0.mp4","10","2026-04-09T01:58:07+02:00","Ulica z dostawczym pojazdem w oddali i boczną zielenią pokazuje manewr skrętu w lewo. Ujęcie akcentuje możliwość pojawienia się motocyklisty z przeciwnego kierunku.","batch-014 accepted after owner review; not yet connected to production sitemap"
"accepted","batch-014","3556","A","https://prawkonaraz.pl/pytanie/3556/zamierzasz-skrecic-w-lewo-czy-masz-pierwszenstwo-przed-pojazdem-nadjezdzajacym-z-przeciwka","Film do pytania 3556: Zamierzasz skręcić w lewo. Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z przeci...","Zamierzasz skręcić w lewo. Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z przeciwka?","Materiał wideo do pytania 3556 dla kategorii A pokazuje krótką sytuację drogową z egzaminu teoretycznego i pomaga przeanalizować ją na podstawie obserwacji oraz zasad ruchu. Temat sceny: zamierzasz skręcić w lewo. Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z przeciwka.","zamierzasz skręcić w lewo. Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z przeciwka","https://prawkonaraz.pl/storage-bulk/media/questions/a/3556/image/poster.bfb095393467.jpg","https://prawkonaraz.pl/storage-bulk/media/questions/a/3556/video/full.ba27ad50ac4d.mp4","10","2026-04-09T01:58:07+02:00","Pieszy stoi przy chodniku na osiedlowej ulicy, a jezdnia prowadzi do skrzyżowania z pojazdami w oddali. Scena dotyczy skrętu w lewo oraz obserwacji ruchu z naprzeciwka.","batch-014 accepted after owner review; not yet connected to production sitemap"
"accepted","batch-014","3557","A","https://prawkonaraz.pl/pytanie/3557/zamierzasz-skrecic-w-lewo-a-kierujacy-pojazdem-nadjezdzajacym-z-przeciwka-chce-skrecic-w-prawo-czy-masz-obowiazek-ustapic-mu-pierwszenstwa","Film do pytania 3557: Zamierzasz skręcić w lewo, a kierujący pojazdem nadjeżdżającym z przeciwka chce skręcić...","Zamierzasz skręcić w lewo, a kierujący pojazdem nadjeżdżającym z przeciwka chce skręcić w prawo. Czy masz obowiązek ustąpić mu pierwszeństwa?","Film przy pytaniu 3557 dla kategorii A prezentuje praktyczny kontekst drogowy wykorzystywany w nauce do prawa jazdy i porządkuje to, na co warto zwrócić uwagę w kadrze. Temat sceny: zamierzasz skręcić w lewo, a kierujący pojazdem nadjeżdżającym z przeciwka chce skręcić w prawo. Czy masz obowiązek ustąpić mu pierwsze...","zamierzasz skręcić w lewo, a kierujący pojazdem nadjeżdżającym z przeciwka chce skręcić w prawo. Czy masz obowiązek ustąpić mu pierwsze","https://prawkonaraz.pl/storage-bulk/media/questions/a/3557/image/poster.e6668b7dcda7.jpg","https://prawkonaraz.pl/storage-bulk/media/questions/a/3557/video/full.f5a409f474a4.mp4","10","2026-04-09T01:58:07+02:00","Prosta droga z niską zabudową i pojazdem z przeciwnego kierunku pokazuje zamiar skrętu w lewo przy dobrej widoczności. Kadr porządkuje relację z autem jadącym naprzeciw.","batch-014 accepted after owner review; not yet connected to production sitemap"
